city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
,,,,,,,9706724,Private Room,Budget,100.00%,"$20,075.00",-1.39,,,,,,915973,Donald P.,"$25,300.00",1,31.50%,,,,
,,,,,,,8987369,Private Room,Budget,100.00%,"$20,075.00",-1.47,,,,,,209176132,Patrick,"$25,220.00",1,53.20%,,,,
,,,,,,,7697213,Private Room,Budget,100.00%,"$20,075.00",-1.18,,,,,,3608449,Jeannie (And Skate),"$25,203.00",1,8.50%,,,,
,,,,,,,7460009,Entire Home/Apt,Budget,100.00%,"$20,075.00",-1.27,,,,,,100586872,Mary Gaineng,"$25,198.00",1,80.30%,,,,
,,,,,,,6900463,Private Room,Budget,100.00%,"$20,075.00",-1.49,,,,,,11309130,Michael,"$25,193.00",1,16.70%,,,,
,,,,,,,4333425,Entire Home/Apt,Average,20.00%,"$20,075.00",0.27,,,,,,169382341,Toms,"$25,185.00",1,100.00%,,,,
,,,,,,,1089619,Private Room,Budget,100.00%,"$20,075.00",2.64,,,,,,129002083,Steven,"$25,185.00",1,100.00%,,,,
,,,,,,,63573,Private Room,Budget,100.00%,"$20,075.00",-1.33,,,,,,124999053,Anne,"$25,185.00",1,100.00%,,,,
,,,,,,,38642049,Entire Home/Apt,Budget,91.50%,"$20,040.00",-0.07,,,,,,102645106,Vanya,"$25,185.00",1,100.00%,,,,
,,,,,,,38226704,Entire Home/Apt,Budget,63.80%,"$20,038.00",-0.85,,,,,,55612356,Lydia,"$25,185.00",1,100.00%,,,,
,,,,,,,9096972,Entire Home/Apt,Budget,61.60%,"$20,025.00",4.44,,,,,,48386213,Elisa,"$25,185.00",1,100.00%,,,,
,,,,,,,14023790,Private Room,Budget,99.70%,"$20,020.00",4.55,,,,,,37203476,Marcus,"$25,185.00",1,100.00%,,,,
,,,,,,,37019982,Entire Home/Apt,Budget,63.00%,"$20,010.00",1.49,,,,,,31763323,Garrett,"$25,185.00",1,100.00%,,,,
,,,,,,,32471708,Entire Home/Apt,Budget,79.50%,"$20,010.00",-0.33,,,,,,21803431,Ian Grace,"$25,185.00",1,100.00%,,,,
,,,,,,,23548264,Entire Home/Apt,Budget,75.10%,"$20,002.00",0.80,,,,,,19940836,Justin,"$25,185.00",1,100.00%,,,,
,,,,,,,2898991,Entire Home/Apt,Premium,5.50%,"$20,000.00",1.80,,,,,,15743237,Champson,"$25,185.00",1,100.00%,,,,
,,,,,,,38936592,Private Room,Budget,50.70%,"$19,980.00",-1.02,,,,,,15135334,Veronika,"$25,185.00",1,100.00%,,,,
,,,,,,,12941865,Entire Home/Apt,Budget,50.70%,"$19,980.00",-1.25,,,,,,12340910,Jared,"$25,185.00",1,100.00%,,,,
,,,,,,,20304137,Entire Home/Apt,Budget,57.50%,"$19,950.00",0.75,,,,,,5229579,Ryan,"$25,185.00",1,100.00%,,,,
,,,,,,,2265827,Private Room,Budget,57.50%,"$19,950.00",2.71,,,,,,1842128,Caitlin,"$25,185.00",1,100.00%,,,,
,,,,,,,39525217,Entire Home/Apt,Budget,54.00%,"$19,897.00",0.14,,,,,,358936,Nan And Dan,"$25,185.00",1,100.00%,,,,
,,,,,,,6693367,Private Room,Budget,95.60%,"$19,893.00",3.50,,,,,,214136,Jen,"$25,185.00",1,100.00%,,,,
,,,,,,,18596817,Entire Home/Apt,Budget,75.60%,"$19,872.00",2.46,,,,,,78167521,Jacqueline,"$25,175.00",1,72.60%,,,,
,,,,,,,37933545,Private Room,Budget,86.30%,"$19,845.00",-0.81,,,,,,10500826,Hannah,"$25,160.00",1,93.20%,,,,
,,,,,,,14778016,Entire Home/Apt,Budget,28.80%,"$19,845.00",2.42,,,,,,54379432,Jesse,"$25,125.00",1,91.80%,,,,
,,,,,,,6475500,Entire Home/Apt,Premium,20.80%,"$19,836.00",2.69,,,,,,26789363,Ryan,"$25,122.00",1,87.10%,,,,
,,,,,,,8982859,Entire Home/Apt,Budget,78.60%,"$19,803.00",6.83,,,,,,43262962,Stephanie,"$25,116.00",1,75.60%,,,,
,,,,,,,38571967,Entire Home/Apt,Budget,36.20%,"$19,800.00",0.85,,,,,,311618021,Maria,"$25,110.00",1,51.00%,,,,
,,,,,,,31623552,Private Room,Budget,98.60%,"$19,800.00",-0.25,,,,,,183179396,Maria,"$25,110.00",1,51.00%,,,,
,,,,,,,21320886,Entire Home/Apt,Premium,27.10%,"$19,800.00",1.91,,,,,,1682447,Amy,"$25,110.00",1,51.00%,,,,
,,,,,,,21298601,Entire Home/Apt,Budget,72.30%,"$19,800.00",4.43,,,,,,351893599,Vishal,"$25,098.00",1,77.30%,,,,
,,,,,,,24310251,Entire Home/Apt,Budget,53.70%,"$19,796.00",0.85,,,,,,28481444,Paul Kim,"$25,098.00",1,77.30%,,,,
,,,,,,,44713569,Private Room,Budget,84.70%,"$19,776.00",0.35,,,,,,633561,Sanya,"$25,086.00",1,61.90%,,,,
,,,,,,,14668652,Entire Home/Apt,Budget,31.00%,"$19,775.00",2.84,,,,,,364368739,Malgorzata,"$25,080.00",1,62.50%,,,,
,,,,,,,18886522,Entire Home/Apt,Average,18.40%,"$19,765.00",-0.75,,,,,,141373153,Lins,"$25,080.00",1,57.30%,,,,
,,,,,,,9924593,Private Room,Average,17.80%,"$19,760.00",-0.96,,,,,,279207280,Staycation,"$25,075.00",1,80.80%,,,,
,,,,,,,3369288,Private Room,Budget,43.30%,"$19,750.00",-1.09,,,,,,308983739,Ashley Chris,"$25,048.00",1,34.00%,,,,
,,,,,,,19716110,Entire Home/Apt,Budget,76.20%,"$19,738.00",-1.43,,,,,,250327587,Bobby Andrea,"$25,047.00",1,99.50%,,,,
,,,,,,,41907102,Entire Home/Apt,Average,18.10%,"$19,734.00",-0.73,,,,,,46717945,Carolyn,"$25,025.00",1,24.90%,,,,
,,,,,,,16097964,Entire Home/Apt,Average,18.90%,"$19,734.00",-0.74,,,,,,167827493,Roarty,"$25,024.00",1,50.40%,,,,
,,,,,,,34859597,Private Room,Budget,100.00%,"$19,710.00",-1.36,,,,,,6970679,Kay,"$25,020.00",1,76.20%,,,,
,,,,,,,34121517,Entire Home/Apt,Budget,74.00%,"$19,710.00",-1.17,,,,,,3883580,Viva,"$25,020.00",1,76.20%,,,,
,,,,,,,31175547,Entire Home/Apt,Budget,100.00%,"$19,710.00",-0.75,,,,,,55585267,Daniel,"$25,010.00",1,56.20%,,,,
,,,,,,,18636159,Private Room,Budget,100.00%,"$19,710.00",-0.83,,,,,,80110815,Rebecca,"$25,004.00",1,90.10%,,,,
,,,,,,,15782300,Private Room,Budget,100.00%,"$19,710.00",3.31,,,,,,265252392,Steven,"$24,975.00",1,50.70%,,,,
,,,,,,,13880972,Private Room,Budget,100.00%,"$19,710.00",-0.19,,,,,,265655545,Taylor,"$24,926.00",1,56.40%,,,,
,,,,,,,38047475,Entire Home/Apt,Budget,55.10%,"$19,698.00",0.61,,,,,,85724182,Amelia,"$24,920.00",1,76.70%,,,,
,,,,,,,13124454,Private Room,Budget,30.10%,"$19,690.00",-0.27,,,,,,32600723,Melissa,"$24,875.00",1,54.50%,,,,
,,,,,,,13730732,Private Room,Budget,59.20%,"$19,656.00",4.19,,,,,,131372458,Kyle,"$24,840.00",1,75.60%,,,,
,,,,,,,36946825,Private Room,Budget,71.80%,"$19,650.00",-1.06,,,,,,119051571,Sou,"$24,840.00",1,75.60%,,,,
,,,,,,,25871608,Entire Home/Apt,Budget,71.80%,"$19,650.00",-1.00,,,,,,36835226,Christine,"$24,840.00",1,75.60%,,,,
,,,,,,,2150818,Entire Home/Apt,Average,35.90%,"$19,650.00",-0.80,,,,,,6280255,Mike,"$24,830.00",1,52.30%,,,,
,,,,,,,223321,Entire Home/Apt,Average,20.00%,"$19,637.00",-0.93,,,,,,49432633,Molly,"$24,820.00",1,100.00%,,,,
,,,,,,,38214248,Entire Home/Apt,Budget,51.20%,"$19,635.00",-1.36,,,,,,38670785,Maxime,"$24,820.00",1,100.00%,,,,
,,,,,,,27531487,Private Room,Budget,63.30%,"$19,635.00",2.03,,,,,,9586820,Bronwen,"$24,820.00",1,100.00%,,,,
,,,,,,,32224329,Entire Home/Apt,Budget,76.70%,"$19,600.00",1.17,,,,,,698337,Emily,"$24,820.00",1,100.00%,,,,
,,,,,,,21943948,Private Room,Budget,67.10%,"$19,600.00",2.87,,,,,,428172,Matthew,"$24,820.00",1,100.00%,,,,
,,,,,,,2391884,Entire Home/Apt,Budget,38.40%,"$19,600.00",0.44,,,,,,49136460,Sarah,"$24,804.00",1,58.10%,,,,
,,,,,,,19599646,Private Room,Budget,75.60%,"$19,596.00",1.84,,,,,,25519626,Marbella,"$24,804.00",1,14.50%,,,,
,,,,,,,32746134,Entire Home/Apt,Budget,60.30%,"$19,580.00",3.01,,,,,,267193767,Jenny,"$24,800.00",1,34.00%,,,,
,,,,,,,36630852,Entire Home/Apt,Budget,23.80%,"$19,575.00",-0.93,,,,,,314923179,Thuy,"$24,768.00",1,52.60%,,,,
,,,,,,,139624,Entire Home/Apt,Budget,73.40%,"$19,564.00",0.12,,,,,,262391488,Arline,"$24,750.00",1,75.30%,,,,
,,,,,,,43544402,Entire Home/Apt,Budget,59.50%,"$19,530.00",-0.22,,,,,,75587530,Annie,"$24,750.00",1,75.30%,,,,
,,,,,,,41572701,Private Room,Budget,76.40%,"$19,530.00",-0.46,,,,,,12193253,Daniel,"$24,750.00",1,75.30%,,,,
,,,,,,,35389007,Private Room,Budget,51.00%,"$19,530.00",-1.05,,,,,,66371700,Katy,"$24,742.00",1,76.20%,,,,
,,,,,,,6180121,Private Room,Budget,77.50%,"$19,527.00",1.93,,,,,,130092868,Nicky,"$24,700.00",1,52.10%,,,,
,,,,,,,20192701,Entire Home/Apt,Budget,54.00%,"$19,503.00",4.44,,,,,,4784653,Kristina,"$24,700.00",1,67.70%,,,,
,,,,,,,33098278,Entire Home/Apt,Budget,53.40%,"$19,500.00",0.56,,,,,,3142348,Don,"$24,696.00",1,94.00%,,,,
,,,,,,,15604857,Entire Home/Apt,Budget,53.40%,"$19,500.00",0.66,,,,,,60222981,Summer,"$24,675.00",1,90.10%,,,,
,,,,,,,41561413,Entire Home/Apt,Budget,52.90%,"$19,493.00",4.60,,,,,,14501987,Andy,"$24,662.00",2,12.20%,,,,
,,,,,,,19802101,Entire Home/Apt,Budget,61.40%,"$19,488.00",2.01,,,,,,74534288,Stephen,"$24,651.00",1,81.40%,,,,
,,,,,,,16745089,Private Room,Budget,80.80%,"$19,470.00",-1.01,,,,,,124318693,Mint House,"$24,648.00",2,18.75%,,,,
,,,,,,,27196500,Private Room,Budget,77.30%,"$19,458.00",-1.41,,,,,,184951642,Kamilla,"$24,640.00",1,84.40%,,,,
,,,,,,,6000726,Entire Home/Apt,Budget,57.30%,"$19,437.00",1.92,,,,,,68766769,Wendy,"$24,638.00",1,53.20%,,,,
,,,,,,,4061239,Private Room,Budget,67.40%,"$19,434.00",6.27,,,,,,48164151,Todd,"$24,633.00",1,41.90%,,,,
,,,,,,,44064550,Entire Home/Apt,Average,28.80%,"$19,425.00",-0.56,,,,,,14988400,Sharon,"$24,601.00",1,92.30%,,,,
,,,,,,,31466261,Entire Home/Apt,Budget,59.70%,"$19,402.00",0.00,,,,,,300626174,Holly,"$24,600.00",1,33.70%,,,,
,,,,,,,32987079,Entire Home/Apt,Budget,53.20%,"$19,400.00",1.63,,,,,,295247374,Rafael,"$24,598.00",1,68.80%,,,,
,,,,,,,40595270,Entire Home/Apt,Premium,12.30%,"$19,395.00",1.96,,,,,,13059899,Asia,"$24,596.00",1,78.40%,,,,
,,,,,,,32308420,Entire Home/Apt,Budget,58.40%,"$19,383.00",-0.69,,,,,,18589253,Will,"$24,564.00",1,75.60%,,,,
,,,,,,,41521045,Private Room,Budget,88.50%,"$19,380.00",-1.07,,,,,,45914707,Tj Heidi,"$24,552.00",1,51.00%,,,,
,,,,,,,40151730,Private Room,Average,35.30%,"$19,350.00",-1.26,,,,,,64357947,Shari,"$24,525.00",1,89.60%,,,,
,,,,,,,23824968,Private Room,Budget,100.00%,"$19,345.00",8.42,,,,,,27163465,Karen,"$24,525.00",1,29.90%,,,,
,,,,,,,22389883,Private Room,Budget,100.00%,"$19,345.00",-1.28,,,,,,26019462,Linda,"$24,522.00",1,55.10%,,,,
,,,,,,,14195878,Private Room,Budget,100.00%,"$19,345.00",-1.47,,,,,,157072983,Namastay,"$24,500.00",1,38.40%,,,,
,,,,,,,10851622,Entire Home/Apt,Budget,100.00%,"$19,345.00",-0.64,,,,,,291881868,J.C.,"$24,495.00",1,97.30%,,,,
,,,,,,,2898292,Private Room,Budget,100.00%,"$19,345.00",0.92,,,,,,103220942,Perry,"$24,472.00",1,88.20%,,,,
,,,,,,,2560559,Private Room,Budget,100.00%,"$19,345.00",-1.50,,,,,,148686255,Jaime,"$24,455.00",1,100.00%,,,,
,,,,,,,18827942,Entire Home/Apt,Budget,63.80%,"$19,339.00",2.88,,,,,,86832657,Jake,"$24,455.00",1,100.00%,,,,
,,,,,,,33112268,Entire Home/Apt,Budget,86.80%,"$19,337.00",4.50,,,,,,68422715,Dominique,"$24,455.00",1,100.00%,,,,
,,,,,,,35384123,Private Room,Budget,75.60%,"$19,320.00",-0.21,,,,,,41464907,Furkan,"$24,455.00",1,100.00%,,,,
,,,,,,,27422570,Private Room,Budget,75.60%,"$19,320.00",-0.67,,,,,,20609201,Maurice,"$24,455.00",1,100.00%,,,,
,,,,,,,14124262,Private Room,Budget,75.60%,"$19,320.00",-0.77,,,,,,100789740,Carrie,"$24,440.00",1,64.40%,,,,
,,,,,,,27494291,Entire Home/Apt,Budget,59.50%,"$19,313.00",0.33,,,,,,27280979,Jesse,"$24,436.00",1,44.90%,,,,
,,,,,,,35471776,Private Room,Budget,81.40%,"$19,305.00",0.45,,,,,,88787615,Melissa,"$24,416.00",1,30.70%,,,,
,,,,,,,25546044,Entire Home/Apt,Budget,32.10%,"$19,305.00",-0.10,,,,,,117952786,Frank And Claire,"$24,411.00",1,84.70%,,,,
,,,,,,,41142323,Entire Home/Apt,Budget,91.00%,"$19,256.00",-0.60,,,,,,268681811,Chris,"$24,402.00",1,26.80%,,,,
,,,,,,,31294709,Private Room,Budget,76.40%,"$19,251.00",-1.14,,,,,,7017243,Drew,"$24,395.00",1,78.60%,,,,
,,,,,,,43477775,Entire Home/Apt,Average,42.20%,"$19,250.00",-0.79,,,,,,183816605,Liping,"$24,375.00",1,89.00%,,,,
,,,,,,,31521732,Private Room,Budget,75.30%,"$19,250.00",-0.86,,,,,,667627,Marvin,"$24,360.00",1,95.30%,,,,
,,,,,,,19566341,Entire Home/Apt,Average,30.10%,"$19,250.00",2.73,,,,,,333873266,Glenda,"$24,332.00",1,84.40%,,,,
,,,,,,,15888403,Private Room,Budget,75.30%,"$19,250.00",-1.06,,,,,,21473662,Paul,"$24,310.00",1,60.50%,,,,
,,,,,,,14072298,Private Room,Budget,75.30%,"$19,250.00",-1.13,,,,,,7558719,Cynthia,"$24,300.00",1,22.20%,,,,
,,,,,,,3061995,Private Room,Budget,75.30%,"$19,250.00",2.75,,,,,,149028,Adrienne,"$24,300.00",1,66.60%,,,,
,,,,,,,28696499,Private Room,Budget,77.50%,"$19,244.00",4.10,,,,,,220745297,Aaron,"$24,297.00",1,74.80%,,,,
,,,,,,,41195687,Private Room,Budget,52.60%,"$19,200.00",-1.35,,,,,,133999722,Rosa,"$24,273.00",1,76.40%,,,,
,,,,,,,33325273,Private Room,Budget,70.10%,"$19,200.00",3.60,,,,,,48049735,Cory,"$24,264.00",1,92.30%,,,,
,,,,,,,8539301,Private Room,Budget,99.20%,"$19,186.00",3.81,,,,,,3685210,Theresa,"$24,252.00",1,51.50%,,,,
,,,,,,,22166963,Entire Home/Apt,Premium,16.20%,"$19,175.00",0.68,,,,,,348869262,Amy,"$24,250.00",1,26.60%,,,,
,,,,,,,12794487,Private Room,Budget,80.80%,"$19,175.00",-0.84,,,,,,4483032,James,"$24,219.00",1,22.20%,,,,
,,,,,,,14853737,Entire Home/Apt,Average,18.40%,"$19,162.00",-0.38,,,,,,34345742,"Bill, Heidi Hebi","$24,200.00",1,60.30%,,,,
,,,,,,,18180624,Entire Home/Apt,Budget,66.30%,"$19,118.00",-0.18,,,,,,20618572,Better Vacations,"$24,192.00",1,34.50%,,,,
,,,,,,,38357602,Private Room,Budget,80.50%,"$19,110.00",-0.22,,,,,,6841194,Eric,"$24,192.00",1,52.60%,,,,
,,,,,,,24306823,Private Room,Budget,80.50%,"$19,110.00",-1.32,,,,,,8065799,Emmanuel,"$24,184.00",2,15.20%,,,,
,,,,,,,41264587,Entire Home/Apt,Average,27.10%,"$19,107.00",-0.54,,,,,,245345125,Tina,"$24,180.00",1,84.90%,,,,
,,,,,,,38485738,Entire Home/Apt,Budget,52.30%,"$19,100.00",-0.47,,,,,,181580421,Discover Kauai Properties,"$24,180.00",1,25.50%,,,,
,,,,,,,18085124,Entire Home/Apt,Budget,52.30%,"$19,100.00",-0.15,,,,,,47043651,Kasey,"$24,178.00",1,21.10%,,,,
,,,,,,,11465403,Entire Home/Apt,Premium,13.40%,"$19,061.00",-0.39,,,,,,69978960,Alan,"$24,168.00",1,62.50%,,,,
,,,,,,,27735398,Private Room,Budget,75.60%,"$19,044.00",4.29,,,,,,229854,Michael,"$24,168.00",1,31.20%,,,,
,,,,,,,26752902,Entire Home/Apt,Budget,56.70%,"$19,044.00",1.09,,,,,,38829607,Karen,"$24,150.00",1,44.10%,,,,
,,,,,,,24890095,Private Room,Budget,75.60%,"$19,044.00",1.53,,,,,,4654046,Kate,"$24,125.00",1,52.90%,,,,
,,,,,,,15705920,Entire Home/Apt,Budget,75.60%,"$19,044.00",-0.07,,,,,,165333733,Cayla,"$24,108.00",1,33.70%,,,,
,,,,,,,28561610,Private Room,Budget,98.40%,"$19,027.00",-0.21,,,,,,33326336,Allison,"$24,100.00",1,66.00%,,,,
,,,,,,,27706798,Private Room,Budget,82.70%,"$19,026.00",3.28,,,,,,33176574,Kimo,"$24,095.00",1,16.70%,,,,
,,,,,,,18778338,Entire Home/Apt,Average,26.60%,"$19,012.00",-0.95,,,,,,86256140,Sifang,"$24,090.00",1,100.00%,,,,
,,,,,,,34130595,Entire Home/Apt,Budget,81.40%,"$19,008.00",0.20,,,,,,45601796,Mike,"$24,090.00",1,100.00%,,,,
,,,,,,,33909952,Entire Home/Apt,Budget,52.10%,"$19,000.00",0.73,,,,,,38342237,Leonore,"$24,090.00",1,100.00%,,,,
,,,,,,,76501,Entire Home/Apt,Budget,52.10%,"$19,000.00",2.21,,,,,,35414811,Malika,"$24,090.00",1,100.00%,,,,
,,,,,,,19913892,Private Room,Budget,100.00%,"$18,980.00",-0.84,,,,,,22623490,Girvan,"$24,090.00",1,100.00%,,,,
,,,,,,,14716077,Private Room,Budget,100.00%,"$18,980.00",-1.44,,,,,,15495404,Melanie,"$24,090.00",1,100.00%,,,,
,,,,,,,14125891,Private Room,Budget,100.00%,"$18,980.00",-1.05,,,,,,12258594,Rosa,"$24,090.00",1,100.00%,,,,
,,,,,,,11104223,Private Room,Budget,100.00%,"$18,980.00",0.13,,,,,,3121134,Allison,"$24,090.00",1,100.00%,,,,
,,,,,,,11075529,Private Room,Budget,100.00%,"$18,980.00",0.60,,,,,,47539363,Paige,"$24,038.00",1,65.20%,,,,
,,,,,,,41338715,Entire Home/Apt,Budget,75.30%,"$18,975.00",-1.21,,,,,,17966712,Marie Peter,"$24,035.00",1,57.30%,,,,
,,,,,,,39369980,Entire Home/Apt,Budget,86.60%,"$18,960.00",2.49,,,,,,257464365,Kevin,"$24,030.00",1,74.00%,,,,
,,,,,,,6726337,Entire Home/Apt,Average,32.10%,"$18,954.00",-0.96,,,,,,159494763,Yi,"$24,030.00",1,73.20%,,,,
,,,,,,,19142051,Entire Home/Apt,Budget,26.80%,"$18,914.00",-1.25,,,,,,4510013,Clean,"$24,012.00",1,56.70%,,,,
,,,,,,,22410552,Entire Home/Apt,Budget,52.30%,"$18,909.00",2.14,,,,,,84296840,Anna,"$24,000.00",1,54.80%,,,,
,,,,,,,10359296,Private Room,Budget,52.30%,"$18,909.00",-1.39,,,,,,4430802,Narges,"$24,000.00",1,52.60%,,,,
,,,,,,,3664378,Hotel Room,Budget,52.30%,"$18,909.00",0.22,,,,,,4282318,Al,"$24,000.00",1,26.30%,,,,
,,,,,,,15597317,Entire Home/Apt,Premium,26.00%,"$18,905.00",-0.32,,,,,,278767683,Linda,"$23,994.00",1,51.00%,,,,
,,,,,,,36239526,Entire Home/Apt,Budget,51.80%,"$18,900.00",-1.27,,,,,,92325527,Barbara,"$23,985.00",1,56.20%,,,,
,,,,,,,6832154,Private Room,Premium,11.50%,"$18,900.00",-0.46,,,,,,36232131,Pablo,"$23,970.00",1,77.30%,,,,
,,,,,,,32980556,Entire Home/Apt,Budget,51.20%,"$18,887.00",-1.07,,,,,,6565512,Justus,"$23,970.00",1,77.30%,,,,
,,,,,,,26609915,Entire Home/Apt,Budget,16.20%,"$18,880.00",-0.95,,,,,,155702726,Nicole,"$23,940.00",1,69.00%,,,,
,,,,,,,14372830,Entire Home/Apt,Average,15.90%,"$18,850.00",-0.75,,,,,,312334680,Daria,"$23,925.00",1,75.30%,,,,
,,,,,,,14725307,Entire Home/Apt,Budget,74.80%,"$18,837.00",-0.24,,,,,,181651082,Fran,"$23,920.00",1,81.90%,,,,
,,,,,,,11739168,Entire Home/Apt,Budget,44.10%,"$18,837.00",-0.91,,,,,,158547273,Jeremy,"$23,885.00",1,77.00%,,,,
,,,,,,,35738467,Private Room,Budget,99.20%,"$18,824.00",-1.20,,,,,,140421,Aleksandra,"$23,880.00",1,54.50%,,,,
,,,,,,,37600939,Private Room,Budget,52.60%,"$18,816.00",-0.21,,,,,,298627042,Eunsil,"$23,865.00",1,50.70%,,,,
,,,,,,,13428935,Private Room,Budget,51.50%,"$18,800.00",-1.39,,,,,,65431581,Melanie,"$23,865.00",1,50.70%,,,,
,,,,,,,43557456,Entire Home/Apt,Premium,14.80%,"$18,792.00",5.15,,,,,,69435864,Terry,"$23,851.00",1,16.70%,,,,
,,,,,,,2289612,Private Room,Budget,47.70%,"$18,792.00",4.63,,,,,,80372984,Lee,"$23,850.00",1,29.00%,,,,
,,,,,,,2649068,Private Room,Budget,85.80%,"$18,780.00",-0.34,,,,,,158325539,Mackenzie,"$23,837.00",1,33.20%,,,,
,,,,,,,37009410,Entire Home/Apt,Budget,34.50%,"$18,774.00",-0.94,,,,,,9606640,Teki,"$23,800.00",1,76.70%,,,,
,,,,,,,32330185,Entire Home/Apt,Budget,37.30%,"$18,768.00",-0.11,,,,,,6327715,Elizabeth,"$23,800.00",1,65.20%,,,,
,,,,,,,17072361,Entire Home/Apt,Budget,55.90%,"$18,768.00",-1.21,,,,,,764912,Irene,"$23,800.00",1,37.30%,,,,
,,,,,,,32338520,Entire Home/Apt,Average,31.50%,"$18,745.00",-1.09,,,,,,24490171,Ed Rj,"$23,798.00",1,89.30%,,,,
,,,,,,,39243391,Private Room,Budget,85.50%,"$18,720.00",-1.15,,,,,,273177557,Veronica,"$23,760.00",1,81.40%,,,,
,,,,,,,33047652,Private Room,Budget,57.00%,"$18,720.00",1.01,,,,,,245417224,Stanford Court,"$23,760.00",1,32.90%,,,,
,,,,,,,22673553,Entire Home/Apt,Budget,28.50%,"$18,720.00",-0.42,,,,,,244014656,Rossetty,"$23,760.00",1,74.00%,,,,
,,,,,,,20695085,Entire Home/Apt,Budget,64.10%,"$18,720.00",0.03,,,,,,190912564,Jayne,"$23,760.00",1,65.80%,,,,
,,,,,,,16697657,Private Room,Budget,39.50%,"$18,720.00",-1.11,,,,,,57762165,Anna,"$23,750.00",1,26.00%,,,,
,,,,,,,42013609,Private Room,Budget,93.20%,"$18,700.00",-0.92,,,,,,10251474,Chip,"$23,735.00",1,27.70%,,,,
,,,,,,,25028599,Private Room,Budget,51.20%,"$18,700.00",0.40,,,,,,312100908,Sebastian,"$23,725.00",1,100.00%,,,,
,,,,,,,13331843,Entire Home/Apt,Premium,18.60%,"$18,700.00",0.21,,,,,,273570019,Khaled,"$23,725.00",1,100.00%,,,,
,,,,,,,34787915,Entire Home/Apt,Budget,57.50%,"$18,690.00",-0.89,,,,,,249669656,Yessica,"$23,725.00",1,100.00%,,,,
,,,,,,,32723777,Entire Home/Apt,Budget,50.70%,"$18,685.00",-1.39,,,,,,234111066,Isidora,"$23,725.00",1,100.00%,,,,
,,,,,,,6516536,Entire Home/Apt,Budget,34.50%,"$18,648.00",2.36,,,,,,201816033,Matt,"$23,725.00",1,100.00%,,,,
,,,,,,,40507150,Entire Home/Apt,Budget,100.00%,"$18,615.00",-1.01,,,,,,174171891,Charlotte,"$23,725.00",1,100.00%,,,,
,,,,,,,26688805,Private Room,Budget,100.00%,"$18,615.00",-1.37,,,,,,153950482,Morgan Chase,"$23,725.00",1,100.00%,,,,
,,,,,,,21436537,Private Room,Budget,100.00%,"$18,615.00",-0.90,,,,,,147716474,Lynn,"$23,725.00",1,100.00%,,,,
,,,,,,,16605782,Entire Home/Apt,Budget,100.00%,"$18,615.00",2.92,,,,,,146175399,O'Neil,"$23,725.00",1,100.00%,,,,
,,,,,,,8540638,Private Room,Budget,100.00%,"$18,615.00",-0.73,,,,,,127895318,Emmanuel,"$23,725.00",1,100.00%,,,,
,,,,,,,20481735,Entire Home/Apt,Budget,38.60%,"$18,612.00",0.81,,,,,,104124704,Alejandro,"$23,725.00",1,100.00%,,,,
,,,,,,,39320317,Private Room,Budget,71.80%,"$18,602.00",1.04,,,,,,91034542,Maureen,"$23,725.00",1,100.00%,,,,
,,,,,,,29382038,Entire Home/Apt,Premium,34.00%,"$18,600.00",2.83,,,,,,88034180,Rob,"$23,725.00",1,100.00%,,,,
,,,,,,,27160394,Entire Home/Apt,Budget,51.00%,"$18,600.00",-0.93,,,,,,76590834,Omar,"$23,725.00",1,100.00%,,,,
,,,,,,,15772798,Private Room,Budget,67.90%,"$18,600.00",1.41,,,,,,76458186,Kathleen,"$23,725.00",1,100.00%,,,,
,,,,,,,15156334,Entire Home/Apt,Premium,17.00%,"$18,600.00",-0.49,,,,,,74022242,Rachel,"$23,725.00",1,100.00%,,,,
,,,,,,,41881011,Entire Home/Apt,Budget,78.40%,"$18,590.00",-0.69,,,,,,71193450,Maggie,"$23,725.00",1,100.00%,,,,
,,,,,,,36553800,Private Room,Budget,81.90%,"$18,538.00",2.29,,,,,,64060155,Aaron,"$23,725.00",1,100.00%,,,,
,,,,,,,38242810,Entire Home/Apt,Average,15.60%,"$18,525.00",-0.17,,,,,,56773489,Marieka,"$23,725.00",1,100.00%,,,,
,,,,,,,5405006,Entire Home/Apt,Budget,26.00%,"$18,525.00",0.37,,,,,,48677247,Elle,"$23,725.00",1,100.00%,,,,
,,,,,,,25033659,Entire Home/Apt,Average,31.50%,"$18,515.00",-0.82,,,,,,47718277,Steven And John,"$23,725.00",1,100.00%,,,,
,,,,,,,37629606,Entire Home/Apt,Budget,57.00%,"$18,512.00",1.10,,,,,,39726584,Logan,"$23,725.00",1,100.00%,,,,
,,,,,,,30821955,Entire Home/Apt,Premium,8.50%,"$18,507.00",1.29,,,,,,39249461,Justin,"$23,725.00",1,100.00%,,,,
,,,,,,,37103577,Entire Home/Apt,Premium,6.60%,"$18,504.00",0.29,,,,,,24018721,Khrystian,"$23,725.00",1,100.00%,,,,
